"ID","PRODUCT_ID","CLASS","CLASS_ID","APPLICATION","APPLICATION_ID","PRODUCT_REGISTER","PRODUCT_NAME","PRODUCT_BRANDS","PRODUCT_PACKAGE","PRODUCT_FORM","STATUS","REGISTRAR_ID","IMPORTER_ID","DELETED_DATE","STATUS_COMMITMENT","KATEGORI_DOKUMEN","PRODUCT_ATC","PRODUCT_QR","PRODUCT_FILE","PRODUCT_REVISION","MESSAGE","SUBMIT_DATE","PRODUCT_UPDATE","PRODUCT_DATE","PRODUCT_EXPIRED","DEPARTMENT_ID","USER_NAME","REGISTRAR","REGISTRAR_ADD","REGISTRAR_NPWP","REGISTRAR_DISTRICT_DETAIL","REGISTRAR_PROVINCE_DETAIL","REGISTRAR_COUNTRY_DETAIL","MANUFACTURER_NAME","MANUFACTURER_ADDRESS","MANUFACTURER_DISTRICT_DETAIL","MANUFACTURER_PROVINCE_DETAIL","MANUFACTURER_COUNTRY_DETAIL","IMPORTER","IMPORTER_ADD","URL_MASYARAKAT","URL_NAKES","STATUS_ELABELLING","PRODUCT_ID_HALAL","CERTIFICATE_ID_HALAL","CERTIFICATE_DATE_HALAL","CERTIFICATE_OLD_DATE_HALAL","PATH_FILE","CREATED_AT_HALAL","DEPARTMENT","CATEGORY","REGISTRAR_PROV","IMPORTER_PROV","INGREDIENTS","is_grace_period_expired","DT_RowIndex"
"592773","EREG306546202000020","13","13","e-Registration Pangan Olahan","02","MD 232728027548","Kerupuk Mentah Rasa Bawang","INDOBAWANG","Plastik (250 g, 500 g, 1000 g, 3000 g, 5000 g)","","Berlaku","T6546",,,,,,"(90)MD232728027548(91)250707",,"",,"2020-06-26","2020-07-08","2020-07-07","2025-07-07","221","System","CV. INDO SARI","JL.RAYA SAPAN NO. 82B  DESA TEGALLUAR KECAMATAN BOJONGSOANG","819029679444000","Kab. Bandung","Jawa Barat","Indonesia","CV. INDO SARI","JL.RAYA SAPAN NO. 82B  DESA TEGALLUAR KECAMATAN BOJONGSOANG","Kab. Bandung","Jawa Barat","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Pangan Olahan","Kab. Bandung, Jawa Barat",,"","False","240001"
"517019","EREG302698202000009","1301301301","13","e-Registration Pangan Olahan","02","MD 543922034006","Sarden Rasa Bumbu Kuning","Bali Paradise","Kaleng (155 g)","","Berlaku","T2698",,,,,,"(90)MD543922034006(91)250707",,"",,"2020-02-26","2020-07-08","2020-07-07","2025-07-07","221","System","PT. SARANA TANI PRATAMA","Dusun. Kelapa Balian, Desa Pengambengan, Kecamatan Negara","019600543908000","Kab. Jembrana","Bali","Indonesia","PT. SARANA TANI PRATAMA","Dusun. Kelapa Balian, Desa Pengambengan, Kecamatan Negara","Kab. Jembrana","Bali","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Makanan ? Diproduksi Sendiri ? Baru","Kab. Jembrana, Bali",,"","False","240002"
"505404","EREG302382202000026","1301301301","13","e-Registration Pangan Olahan","02","MD 239512057009","Sosis Sapi Asap (Bratwurst Beef Sausage)"," HATO","Plastik (500g, 1000g)","","Berlaku","T2382",,,,,,"(90)MD239512057009(91)250707",,"",,"2020-04-28","2020-07-08","2020-07-07","2025-07-07","221","System","PT. SERA FOOD INDONESIA","Brayut RT.01, RW.28 Kelurahan Pandowoharjo, Kecamatan Sleman","314138538542000","Kab. Sleman","DI Yogyakarta","Indonesia","PT. SERA FOOD INDONESIA","Brayut RT.01, RW.28 Kelurahan Pandowoharjo, Kecamatan Sleman","Kab. Sleman","DI Yogyakarta","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Makanan ? Diproduksi Sendiri ? Baru","Kab. Sleman, DI Yogyakarta",,"","False","240003"
"605358","EREG307985202000002","1301301301","13","e-Registration Pangan Olahan","02","MD 232231005484","Tahu Sutera Telur (Silken Egg Tofu)","Sakake","Plastik (150g, 230g)","","Berlaku","T7985",,,,,,"(90)MD232231005484(91)250707",,"",,"2020-04-15","2020-07-08","2020-07-07","2025-07-07","221","System","PT MITRA BOGASEGAR","Jl. Arya Wangsakara No.45, Kel. Uwung Jaya, Kec. Cibodas","013435573028000","Kota Tangerang","Banten","Indonesia","PT MITRA BOGASEGAR","Jl. Arya Wangsakara No.45, Kel. Uwung Jaya, Kec. Cibodas","Kota Tangerang","Banten","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Makanan ? Diproduksi Sendiri ? Baru","Kota Tangerang, Banten",,"","False","240004"
"508872","EREG302451202000018","1304301301","13","e-Registration Pangan Olahan","02","MD 169431099125","Cider Rasa Dark Fruit (Mengandung Alkohol ??4.5% v/v)"," Strongbow"," Botol Kaca (330ml, 620ml dan 640ml)","","Berlaku","T2451",,,,,,"(90)MD169431099125(91)250707",,"",,"2020-05-13","2020-07-08","2020-07-07","2025-07-07","221","System","PT MULTI BINTANG INDONESIA ","Jl. Daan Mogot KM 19, Poris Gaga - Batu Ceper, Tangerang","010022283092000","Kab. Tangerang","Banten","Indonesia","PT MULTI BINTANG INDONESIA ","Jl. Daan Mogot KM 19, Poris Gaga - Batu Ceper, Tangerang","Kab. Tangerang","Banten","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Minuman Beralkohol ? Diproduksi Sendiri ? Baru","Kab. Tangerang, Banten",,"","False","240005"
"595718","EREG306770202000018","1301301301","13","e-Registration Pangan Olahan","02","MD 832713045931","Kerupuk Mentah Rasa Terasi","CETAR","Plastik dalam karton ( 200g, 250g, 500g, 750g, 1kg, 2kg, 3kg, 4kg, 5kg )","","Berlaku","T6770",,,,,,"(90)MD832713045931(91)250707",,"",,"2020-03-24","2020-07-08","2020-07-07","2025-07-07","221","System","UD. KRUPUK CAP SAPI","DUSUN TEMPEL, DESA LEGOK, KEC. GEMPOL","066681297624000","Kab. Pasuruan","Jawa Timur","Indonesia","UD. KRUPUK CAP SAPI","DUSUN TEMPEL, DESA LEGOK, KEC. GEMPOL","Kab. Pasuruan","Jawa Timur","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Makanan ? Diproduksi Sendiri ? Baru","Kab. Pasuruan, Jawa Timur",,"","False","240006"
"552789","EREG303818202000005","1301301301","13","e-Registration Pangan Olahan","02","MD 231213042510","Sohun (Vermicelli)","IP","Plastik (50 g, 100 g, 150 g, 250 g, 500 g, 1 Kg)","","Berlaku","T3818",,,,,,"(90)MD231213042510(91)250707",,"",,"2020-05-13","2020-07-08","2020-07-07","2025-07-07","221","System","CV. Indopertama","Jalan Raya Purwoasri Dusun Kunti RT001/RW004Kel. Mranggen - Kec. Purwoasri","737283663655000","Kab. Kediri","Jawa Timur","Indonesia","CV. Indopertama","Jalan Raya Purwoasri Dusun Kunti RT001/RW004Kel. Mranggen - Kec. Purwoasri","Kab. Kediri","Jawa Timur","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Makanan ? Diproduksi Sendiri ? Baru","Kab. Kediri, Jawa Timur",,"","False","240007"
"441677","EREG301358202000024","1301301301","13","e-Registration Pangan Olahan","02","MD 243209140078","Ikan Salmon Bumbu Marinasi","SIBAS","Plastik (100 g dan 110 g)","","Berlaku","T1358",,,,,,"(90)MD243209140078(91)250706",,"",,"2020-05-20","2020-07-07","2020-07-06","2025-07-06","221","System","PT CITRA DIMENSI ARTHALI","Jl. Muara Ujung Baru Blok N No.11 (Perum Perikanan Samudera)Kel. Penjaringan, Kec. Penjaringan","017212085041000","Kota Jakarta Utara","DKI Jakarta","Indonesia","PT CITRA DIMENSI ARTHALI","Jl. Muara Ujung Baru Blok N No.11 (Perum Perikanan Samudera)Kel. Penjaringan, Kec. Penjaringan","Kota Jakarta Utara","DKI Jakarta","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Makanan ? Diproduksi Sendiri ? Baru","Kota Jakarta Utara, DKI Jakarta",,"","False","240008"
"589808","EREG306290202000061","1302301301","13","e-Registration Pangan Olahan","02","MD 867031316367","Minuman Serbuk Rasa Lemon Madu","HIJINSEI","Aluminium Foil dalam Karton (180g / 15 sachet @ 12g)","","Berlaku","T6290",,,,,,"(90)MD867031316367(91)250706",,"",,"2020-06-11","2020-07-07","2020-07-06","2025-07-06","221","System","PT. INDO GREENLIFE HARVEST","Komplek Pergudangan Dan Industri Era Prima ,Jl. Daan Mogot KM 21 , No 1 , Blok Q1 ","847370533416000","Kota Tangerang","Banten","Indonesia","PT. INDO GREENLIFE HARVEST","Komplek Pergudangan Dan Industri Era Prima ,Jl. Daan Mogot KM 21 , No 1 , Blok Q1 ","Kota Tangerang","Banten","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Minuman ? Diproduksi Sendiri ? Baru","Kota Tangerang, Banten",,"","False","240009"
"517025","EREG302698202000017","1301301301","13","e-Registration Pangan Olahan","02","MD 543922030006","Sarden Rasa Sambal Matah","Bali Paradise","Kaleng (125 g)","","Berlaku","T2698",,,,,,"(90)MD543922030006(91)250706",,"",,"2020-02-26","2020-07-07","2020-07-06","2025-07-06","221","System","PT. SARANA TANI PRATAMA","Dusun. Kelapa Balian, Desa Pengambengan, Kecamatan Negara","019600543908000","Kab. Jembrana","Bali","Indonesia","PT. SARANA TANI PRATAMA","Dusun. Kelapa Balian, Desa Pengambengan, Kecamatan Negara","Kab. Jembrana","Bali","Indonesia",,,,,,,,,,,,"Direktorat Registrasi Pangan Olahan","Makanan ? Diproduksi Sendiri ? Baru","Kab. Jembrana, Bali",,"","False","240010"
